3.05, 3.63, 3.27, 20, 0.0995653512804324, BAT SlipP = 0.05, Floor = 1/4
1.10, 1.58, 1.27, 20, 0.1958565644593228, BAT SlipP = 0.05, Floor = 1/4
2.17, 2.50, 2.47, 20, 0.012429529353453346, BAT SlipP = 0.05, Floor = 1/4
4.12, 4.62, 4.65, 20, 0.00584065238337699, BAT SlipP = 0.05, Floor = 1/4
1.00, 1.41, 1.21, 20, 0.1420496324536119, BAT SlipP = 0.05, Floor = 1/4
2.67, 3.47, 3.34, 20, 0.036565528007736665, BAT SlipP = 0.05, Floor = 1/4
0.79, 0.98, 1.06, 20, 0.08422869062635688, BAT SlipP = 0.05, Floor = 1/4
4.32, 4.78, 4.90, 20, 0.024048757566614162, BAT SlipP = 0.05, Floor = 1/4
0.80, 1.07, 0.96, 20, 0.10165530725361482, BAT SlipP = 0.05, Floor = 1/4
0.57, 0.82, 0.84, 20, 0.01699040320673165, BAT SlipP = 0.05, Floor = 1/4
6.27, 7.56, 8.32, 20, 0.10038646075320043, BAT SlipP = 0.05, Floor = 1/4
0.50, 0.75, 0.81, 20, 0.08994877316386461, BAT SlipP = 0.05, Floor = 1/4
1.05, 1.56, 1.35, 20, 0.13568181469813603, BAT SlipP = 0.05, Floor = 1/4
1.00, 1.38, 1.21, 20, 0.12588431886769674, BAT SlipP = 0.05, Floor = 1/4
1.01, 1.53, 0.88, 20, 0.4277650445163803, BAT SlipP = 0.05, Floor = 1/4
5.21, 7.71, 8.53, 20, 0.10694676537000919, BAT SlipP = 0.05, Floor = 1/4
1.49, 1.77, 1.71, 20, 0.031181739965671407, BAT SlipP = 0.05, Floor = 1/4
1.19, 1.73, 1.63, 20, 0.05409328104383932, BAT SlipP = 0.05, Floor = 1/4
3.24, 3.91, 4.22, 20, 0.07720218937664027, BAT SlipP = 0.05, Floor = 1/4
3.44, 5.13, 5.33, 20, 0.03891294202281534, BAT SlipP = 0.05, Floor = 1/4
0.80, 0.98, 0.90, 20, 0.0861224981863425, BAT SlipP = 0.05, Floor = 1/4
3.86, 6.01, 4.53, 20, 0.2467317635296486, BAT SlipP = 0.05, Floor = 1/4
